id,pub_date,is_bestseller,slug,title,image,description,price,discount,bought,in_cart,postponed
1,2023-05-14,1,book-udb-905,"Honey, I Blew Up the Kid",http://dummyimage.com/450x277.png/5fa2dd/ffffff,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",1926,0.7,797.3,470.6,245.9
2,2022-12-25,1,book-sga-441,Flower in Hell (Jiokhwa),http://dummyimage.com/273x688.png/cc0000/ffffff,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",828,0.0,457.9,360.6,52.4
3,2021-03-25,1,book-jpe-511,"Merry War, A",http://dummyimage.com/788x382.png/ff4444/ffffff,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2253,0.9,250.4,184.4,217.1
4,2021-02-28,0,book-djd-346,Libel,http://dummyimage.com/715x466.png/5fa2dd/ffffff,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,671,0.4,410.4,192.3,31.0
5,2023-04-21,0,book-vis-600,Billy Madison,http://dummyimage.com/786x697.png/ff4444/ffffff,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2439,0.2,611.6,218.3,84.9
6,2023-05-10,1,book-goe-989,Touki Bouki,http://dummyimage.com/511x479.png/cc0000/ffffff,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",1965,0.7,778.9,228.5,217.3
7,2022-08-24,0,book-csp-952,Help! I'm A Fish,http://dummyimage.com/655x302.png/cc0000/ffffff,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1201,1.0,378.8,445.8,220.0
8,2022-05-03,1,book-xxh-806,Tin Men,http://dummyimage.com/389x379.png/dddddd/000000,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",2980,0.6,236.5,423.8,200.3
9,2021-09-03,0,book-pcl-360,The Inspector,http://dummyimage.com/571x353.png/cc0000/ffffff,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",689,0.4,272.6,103.5,54.8
10,2021-09-05,1,book-hvr-900,Epidemic,http://dummyimage.com/742x790.png/dddddd/000000,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2705,0.3,589.5,376.8,116.9
11,2022-10-05,1,book-oed-078,Monty Python's And Now for Something Completely Different,http://dummyimage.com/614x335.png/ff4444/ffffff,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",1298,0.5,581.8,491.1,46.1
12,2022-08-03,0,book-wkv-451,Starship Troopers: Invasion,http://dummyimage.com/679x558.png/dddddd/000000,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",2871,0.8,706.1,173.7,44.8
13,2022-09-01,1,book-ymm-388,Either Way (Á annan veg),http://dummyimage.com/717x359.png/ff4444/ffffff,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,2580,0.1,947.8,187.2,88.6
14,2021-10-10,0,book-lsv-193,Highway 61,http://dummyimage.com/483x556.png/ff4444/ffffff,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",1894,0.2,257.0,146.8,69.0
15,2021-05-01,1,book-alb-981,Lady Chatterley's Lover,http://dummyimage.com/672x781.png/dddddd/000000,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1659,0.4,591.9,351.6,241.7
16,2023-04-22,1,book-gxk-255,Mona Lisa Smile,http://dummyimage.com/405x693.png/ff4444/ffffff,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",2231,0.1,512.6,339.6,45.9
17,2022-05-15,1,book-aii-984,"Turning, The",http://dummyimage.com/344x453.png/5fa2dd/ffffff,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1542,0.2,548.1,114.3,223.9
18,2023-04-28,1,book-ctq-409,Muppets Most Wanted,http://dummyimage.com/251x423.png/dddddd/000000,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1354,0.0,938.2,80.7,25.1
19,2021-04-14,1,book-dtn-654,No End (Bez konca),http://dummyimage.com/785x638.png/dddddd/000000,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1310,0.9,871.7,82.0,198.3
20,2021-08-30,0,book-wza-814,"Mesmerist, The",http://dummyimage.com/571x402.png/dddddd/000000,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",2363,0.6,932.1,119.6,39.2
21,2021-02-11,1,book-lnp-138,All Night Long,http://dummyimage.com/769x284.png/5fa2dd/ffffff,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1309,0.8,965.1,189.5,82.4
22,2021-08-28,0,book-kjy-692,"Man of Straw (Untertan, Der)",http://dummyimage.com/516x597.png/5fa2dd/ffffff,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",1887,0.1,861.6,56.5,74.9
23,2021-06-25,0,book-zkj-876,"Snowman, The",http://dummyimage.com/274x606.png/5fa2dd/ffffff,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",2945,0.0,345.9,160.3,108.5
24,2023-04-20,1,book-mrn-228,To Be or Not to Be,http://dummyimage.com/766x547.png/ff4444/ffffff,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1519,0.6,220.2,264.1,209.1
25,2021-08-15,1,book-ygg-632,Proof of Life,http://dummyimage.com/420x289.png/5fa2dd/ffffff,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,1100,1.0,906.4,70.1,224.8
26,2022-04-30,0,book-sqe-137,"Final Inquiry, The (Inquiry, The) (inchiesta, L')",http://dummyimage.com/710x702.png/cc0000/ffffff,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",2597,0.5,226.5,233.6,45.4
27,2023-04-25,0,book-sha-214,Red Garters,http://dummyimage.com/329x745.png/cc0000/ffffff,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2263,0.4,868.8,320.6,28.6
28,2021-10-24,0,book-zhg-214,Critical Care,http://dummyimage.com/752x785.png/cc0000/ffffff,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",588,0.1,468.5,378.8,227.6
29,2022-08-25,1,book-bjr-781,"Clap, You're Dead",http://dummyimage.com/281x707.png/5fa2dd/ffffff,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2571,0.4,612.2,495.7,168.6
30,2021-03-10,1,book-tim-223,Movie Movie,http://dummyimage.com/417x588.png/ff4444/ffffff,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1565,0.2,945.1,238.8,57.5
31,2021-10-30,0,book-olg-043,Space Amoeba (Yog: Monster from Space),http://dummyimage.com/405x788.png/5fa2dd/ffffff,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2722,0.0,328.6,60.7,184.0
32,2021-11-15,0,book-dfg-020,Doctor Who: The Time of the Doctor,http://dummyimage.com/388x698.png/5fa2dd/ffffff,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",1926,0.4,618.1,477.3,69.4
33,2022-09-25,0,book-jgq-314,"Same Love, Same Rain (El mismo amor, la misma lluvia)",http://dummyimage.com/293x712.png/cc0000/ffffff,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1714,0.6,590.4,277.1,183.6
34,2021-11-20,1,book-aqp-924,Brainstorm,http://dummyimage.com/530x458.png/dddddd/000000,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",2667,0.2,764.3,160.1,165.5
