id,user_id,review_id,value,time
1,6,71,1,2022-07-07
2,16,330,1,2023-02-19
3,8,227,-1,2023-01-20
4,27,567,1,2023-05-14
5,29,897,-1,2022-09-21
6,20,256,1,2023-04-26
7,43,293,1,2023-03-10
8,13,985,-1,2022-10-03
9,40,866,1,2022-09-21
10,37,902,-1,2022-08-14
11,8,346,1,2022-07-29
12,14,403,-1,2022-10-08
13,11,599,-1,2022-10-06
14,13,732,-1,2023-01-26
15,6,615,-1,2023-04-23
16,5,492,-1,2023-01-07
17,3,334,-1,2023-03-13
18,5,745,-1,2022-09-28
19,5,478,-1,2023-04-22
20,25,193,1,2023-04-12
21,27,119,-1,2023-03-18
22,49,445,-1,2023-01-23
23,6,694,1,2022-06-16
24,24,423,-1,2022-08-23
25,3,379,-1,2022-07-26
26,20,488,-1,2022-05-30
27,21,115,1,2023-01-18
28,13,664,1,2022-07-19
29,30,797,1,2023-04-05
30,34,550,1,2022-06-06
31,44,891,1,2022-09-11
32,18,718,-1,2023-02-21
33,50,745,-1,2022-07-13
34,44,109,1,2023-04-28
35,22,754,-1,2023-03-21
36,17,137,1,2022-07-20
37,17,308,1,2022-11-27
38,22,193,1,2023-04-17
39,49,753,-1,2022-08-11
40,45,401,1,2022-07-21
41,35,877,1,2022-05-24
42,17,350,1,2023-01-07
43,48,394,1,2022-09-28
44,46,792,1,2022-09-10
45,45,568,1,2022-07-25
46,18,382,1,2022-07-28
47,19,234,-1,2022-10-19
48,12,982,-1,2022-07-21
49,6,753,1,2023-03-14
50,22,202,-1,2023-02-18
51,39,118,-1,2022-06-14
52,13,514,-1,2023-05-17
53,18,472,-1,2023-03-31
54,7,75,1,2023-03-06
55,6,49,1,2023-04-07
56,2,153,1,2022-09-25
57,12,909,-1,2022-08-20
58,44,379,-1,2023-03-20
59,33,863,1,2022-11-25
60,31,939,-1,2023-04-21
61,11,284,-1,2022-06-16
62,2,183,1,2022-11-30
63,24,308,-1,2022-12-22
64,17,755,-1,2022-09-16
65,1,412,1,2022-09-14
66,15,725,-1,2023-04-29
67,26,218,1,2023-03-10
68,26,619,-1,2022-09-07
69,8,529,-1,2022-12-16
70,30,906,-1,2022-09-25
71,20,163,-1,2022-12-21
72,31,262,-1,2022-08-20
73,38,183,-1,2022-12-11
74,9,739,1,2022-08-28
75,6,905,1,2023-04-30
76,6,97,-1,2023-04-30
77,45,122,1,2023-04-25
78,5,971,1,2022-08-09
79,1,891,-1,2022-08-22
80,41,779,-1,2022-06-24
81,33,205,-1,2022-12-24
82,25,299,1,2022-10-11
83,29,586,1,2023-03-01
84,36,249,1,2022-09-12
85,5,908,1,2022-09-11
86,49,154,1,2022-12-02
87,35,930,1,2023-04-03
88,9,918,-1,2022-10-15
89,1,728,1,2022-07-06
90,33,455,1,2023-03-05
91,11,515,-1,2023-01-28
92,28,219,1,2022-07-14
93,48,915,-1,2023-04-10
94,32,104,-1,2023-01-15
95,47,942,-1,2022-05-27
96,8,853,-1,2023-01-31
97,5,320,1,2022-06-17
98,11,476,-1,2022-06-14
99,20,585,-1,2022-10-16
100,25,412,1,2023-03-13
101,44,987,1,2023-02-02
102,37,542,1,2023-05-01
103,44,523,-1,2022-10-02
104,2,581,-1,2023-05-08
105,8,978,1,2022-12-28
106,4,698,-1,2022-08-09
107,16,979,-1,2023-04-13
108,21,545,1,2023-01-20
109,7,809,1,2022-12-16
110,41,306,1,2023-03-28
111,21,728,-1,2022-09-23
112,12,61,-1,2023-04-09
113,44,127,1,2022-11-07
114,48,604,-1,2022-05-24
115,23,979,1,2022-07-06
116,35,240,-1,2023-01-22
117,41,351,1,2023-04-25
118,15,205,1,2022-12-24
119,27,785,1,2023-03-10
120,38,757,1,2022-06-29
121,32,933,1,2022-12-16
122,18,750,-1,2023-01-09
123,30,44,-1,2022-10-26
124,25,415,1,2022-09-22
125,7,46,1,2022-09-15
126,46,495,-1,2023-02-18
127,49,280,-1,2023-03-31
128,32,332,1,2023-05-10
129,12,288,1,2022-08-07
130,13,379,1,2023-01-19
131,49,107,-1,2023-02-20
132,45,478,-1,2022-06-10
133,13,640,1,2023-04-11
134,35,920,1,2022-09-02
135,20,176,1,2022-12-01
136,19,47,1,2023-05-20
137,9,615,-1,2023-01-25
138,14,816,1,2022-08-09
139,48,47,-1,2023-05-17
140,33,252,-1,2022-12-14
141,4,692,-1,2022-09-20
142,49,410,1,2022-07-17
143,50,102,-1,2022-07-15
144,17,623,-1,2022-06-16
145,28,82,1,2023-04-01
146,8,761,1,2022-11-11
147,41,377,1,2023-01-09
148,37,381,-1,2022-12-24
149,37,1000,1,2022-07-12
150,3,824,1,2022-06-16
151,29,246,-1,2022-09-23
152,33,554,-1,2022-06-26
153,23,524,-1,2023-03-22
154,23,340,1,2022-07-31
155,36,772,-1,2022-07-26
156,43,695,1,2022-09-13
157,12,354,-1,2023-03-29
158,43,54,1,2023-03-29
159,18,743,1,2022-08-09
160,34,573,1,2023-03-15
161,50,116,-1,2022-10-25
162,37,417,-1,2022-07-29
163,27,274,-1,2023-02-14
164,29,902,1,2023-05-01
165,49,300,-1,2023-01-07
166,41,330,1,2022-08-08
167,24,383,-1,2023-02-04
168,47,518,-1,2023-05-03
169,18,306,-1,2022-10-06
170,33,197,1,2022-10-31
171,40,255,1,2023-05-14
172,29,180,-1,2022-11-25
173,32,251,1,2023-02-24
174,32,62,1,2022-07-06
175,15,534,-1,2022-09-11
176,39,750,-1,2022-08-25
177,14,429,-1,2023-01-16
178,6,28,-1,2023-02-04
179,25,853,-1,2023-01-14
180,21,640,-1,2022-08-30
181,20,445,-1,2023-02-20
182,38,980,1,2023-02-03
183,43,84,1,2022-08-07
184,9,488,1,2023-01-14
185,32,904,1,2023-01-17
186,13,756,1,2023-01-23
187,20,909,-1,2023-02-17
188,18,886,-1,2022-05-30
189,17,757,1,2022-09-17
190,26,923,-1,2023-03-01
191,7,434,1,2023-03-12
192,13,846,1,2023-01-31
193,26,622,-1,2023-01-27
194,14,209,-1,2022-10-21
195,6,221,-1,2023-04-06
196,25,450,-1,2022-06-29
197,12,622,1,2022-11-27
198,32,413,-1,2022-06-29
199,7,305,1,2022-06-17
200,1,782,-1,2023-01-02
201,42,260,-1,2022-08-26
202,49,997,1,2022-08-08
203,21,258,1,2022-11-07
204,45,343,-1,2023-04-08
205,50,892,-1,2022-09-27
206,39,866,-1,2023-04-14
207,38,738,-1,2023-04-01
208,37,133,-1,2023-04-27
209,50,905,1,2022-08-04
210,47,284,-1,2022-09-29
211,47,938,1,2023-01-12
212,42,587,1,2022-11-29
213,7,861,-1,2023-05-21
214,23,920,1,2022-08-22
215,1,58,-1,2022-12-02
216,4,957,1,2023-02-03
217,6,424,1,2023-05-14
218,6,319,1,2022-08-06
219,7,82,1,2022-08-11
220,18,409,-1,2023-02-03
221,48,67,1,2023-02-24
222,24,245,-1,2022-06-20
223,17,365,1,2022-06-12
224,12,704,1,2022-09-22
225,39,560,1,2022-09-21
226,19,293,1,2022-06-18
227,45,879,-1,2023-03-11
228,25,409,-1,2022-11-26
229,7,17,-1,2022-10-08
230,19,824,1,2022-06-05
231,50,868,-1,2022-10-24
232,27,841,-1,2022-12-23
233,15,441,-1,2022-09-06
234,41,894,-1,2023-05-07
235,28,801,1,2022-09-20
236,31,418,-1,2023-01-11
237,50,937,-1,2022-12-27
238,42,243,1,2022-08-25
239,35,883,-1,2023-03-05
240,7,257,-1,2023-01-08
241,13,543,-1,2023-02-25
242,25,152,-1,2023-01-31
243,22,381,-1,2023-01-16
244,20,528,1,2022-08-01
245,9,284,-1,2022-08-25
246,4,523,-1,2022-10-07
247,42,202,1,2022-06-17
248,2,250,-1,2023-03-03
249,32,534,1,2022-12-18
250,11,735,-1,2022-07-04
251,10,501,1,2023-01-03
252,30,526,1,2022-12-19
253,49,589,1,2022-08-24
254,31,307,1,2023-04-23
255,27,719,1,2023-03-26
256,6,892,1,2023-02-26
257,8,972,1,2023-05-16
258,3,48,-1,2022-10-11
259,39,214,1,2022-06-16
260,28,909,-1,2023-05-21
261,19,777,1,2023-02-18
262,46,230,1,2023-02-14
263,46,345,-1,2023-02-26
264,15,652,-1,2022-10-29
265,11,889,1,2023-05-14
266,12,385,1,2023-04-08
267,19,811,1,2022-07-18
268,9,366,1,2022-10-27
269,34,751,1,2023-02-07
270,2,733,1,2022-06-20
271,37,244,-1,2022-07-13
272,38,911,1,2023-03-21
273,17,272,1,2023-02-16
274,29,213,1,2022-12-02
275,50,967,1,2023-01-30
276,30,964,1,2022-09-22
277,8,596,-1,2023-01-22
278,3,839,-1,2022-10-07
279,38,244,1,2022-09-06
280,26,417,1,2023-05-08
281,2,75,-1,2022-06-25
282,39,977,1,2023-01-08
283,10,880,1,2023-01-15
284,4,499,1,2022-07-13
285,27,692,-1,2022-12-12
286,1,958,-1,2022-08-09
287,48,656,1,2022-12-06
288,6,162,1,2022-08-14
289,37,42,1,2023-01-20
290,18,640,-1,2022-11-10
291,13,414,-1,2023-02-23
292,6,61,1,2022-05-30
293,12,52,1,2022-10-28
294,14,370,-1,2022-11-05
295,43,753,-1,2023-04-02
296,11,729,-1,2023-04-12
297,17,427,-1,2022-08-03
298,17,512,-1,2023-03-20
299,30,965,1,2023-05-11
300,44,58,1,2023-01-28
301,23,834,1,2022-07-15
302,4,930,1,2022-09-11
303,26,227,1,2022-12-30
304,40,894,-1,2022-07-26
305,30,596,-1,2022-06-28
306,11,560,-1,2023-02-19
307,10,511,-1,2022-10-20
308,30,148,-1,2022-06-01
309,10,548,-1,2023-01-24
310,30,101,1,2023-01-31
311,28,172,1,2023-03-24
312,47,204,-1,2022-07-26
313,10,807,-1,2022-08-08
314,45,369,-1,2023-02-02
315,47,747,-1,2023-04-06
316,4,798,1,2022-10-26
317,27,934,1,2022-07-05
318,44,997,-1,2023-01-16
319,30,152,-1,2023-04-09
320,36,50,1,2023-01-21
321,34,785,1,2022-05-25
322,5,399,-1,2022-09-28
323,12,894,-1,2023-01-25
324,8,884,1,2023-01-16
325,11,881,-1,2022-10-25
326,33,385,-1,2022-09-24
327,19,904,1,2022-10-27
328,25,822,-1,2022-11-30
329,17,182,1,2023-01-07
330,3,536,-1,2023-02-18
331,7,869,1,2022-10-20
332,34,548,1,2022-06-26
333,15,627,1,2022-06-20
334,5,336,-1,2022-07-15
335,19,363,1,2023-01-11
336,16,585,1,2023-01-06
337,18,662,1,2023-05-05
338,45,938,-1,2022-10-06
339,49,586,-1,2023-04-28
340,8,811,1,2022-11-25
341,9,71,-1,2023-02-11
342,24,313,1,2022-11-13
343,47,352,-1,2023-03-11
344,18,784,1,2022-06-16
345,20,303,-1,2022-12-23
346,2,641,1,2023-01-14
347,33,968,-1,2022-10-24
348,18,380,-1,2022-12-02
349,3,176,-1,2022-07-28
350,11,804,-1,2022-12-15
351,39,693,1,2022-10-31
352,50,801,1,2023-01-07
353,34,473,-1,2023-03-10
354,28,182,1,2022-07-28
355,12,939,-1,2023-01-16
356,46,789,1,2023-05-20
357,13,850,-1,2023-01-20
358,29,519,-1,2022-11-08
359,11,358,-1,2022-06-20
360,46,853,-1,2023-05-04
361,35,56,1,2022-10-20
362,1,794,1,2023-03-15
363,9,432,-1,2022-10-30
364,39,755,1,2022-05-29
365,24,280,-1,2023-01-10
366,11,572,1,2022-10-16
367,27,113,1,2022-12-02
368,16,817,-1,2022-06-29
369,6,961,1,2023-04-12
370,12,687,1,2022-11-15
371,47,99,1,2022-07-01
372,33,963,1,2022-10-04
373,17,366,-1,2022-06-10
374,36,147,-1,2022-10-27
375,38,634,1,2023-02-25
376,42,322,1,2023-03-25
377,33,461,-1,2023-04-27
378,33,993,1,2022-10-09
379,44,983,-1,2022-09-13
380,20,870,-1,2022-11-12
381,34,301,1,2022-08-10
382,25,629,1,2022-06-19
383,42,193,-1,2023-01-19
384,21,843,-1,2023-01-05
385,26,207,-1,2022-05-24
386,12,494,-1,2023-01-09
387,26,460,1,2022-06-04
388,25,797,1,2023-02-11
389,25,782,-1,2022-12-10
390,28,116,-1,2022-07-17
391,6,284,-1,2022-11-16
392,33,131,-1,2022-09-20
393,14,56,-1,2022-09-09
394,37,134,-1,2023-01-22
395,34,125,1,2022-07-25
396,39,447,-1,2022-07-09
397,18,288,1,2022-07-13
398,28,156,1,2022-09-25
399,37,783,-1,2022-09-18
400,37,361,1,2022-07-09
401,23,30,1,2022-07-04
402,28,671,1,2023-02-23
403,43,742,-1,2023-04-22
404,18,761,-1,2022-11-22
405,42,36,-1,2023-04-25
406,2,542,-1,2022-12-21
407,17,902,-1,2022-07-24
408,32,41,1,2022-08-09
409,19,688,1,2022-06-10
410,6,730,1,2022-12-27
411,9,751,-1,2023-04-26
412,4,248,1,2022-11-02
413,16,513,1,2023-03-10
414,1,800,-1,2023-02-17
415,49,264,-1,2023-05-10
416,2,129,-1,2023-04-07
417,13,52,1,2022-07-20
418,2,111,1,2023-04-20
419,11,304,-1,2022-09-20
420,50,771,-1,2022-11-11
421,26,358,-1,2022-06-14
422,28,135,1,2022-11-30
423,41,130,1,2023-04-05
424,5,829,1,2023-04-18
425,34,341,-1,2023-02-10
426,44,257,-1,2022-06-16
427,15,428,-1,2022-06-23
428,46,634,-1,2022-06-26
429,36,143,-1,2022-09-15
430,1,973,1,2023-01-02
431,7,837,1,2022-12-27
432,3,103,-1,2022-09-08
433,23,666,-1,2023-03-25
434,43,338,1,2022-09-09
435,25,707,1,2022-12-09
436,39,478,1,2023-02-13
437,39,746,1,2022-06-15
438,26,533,-1,2022-09-18
439,50,12,1,2022-12-25
440,41,777,1,2022-06-04
441,32,257,-1,2023-01-08
442,42,13,-1,2022-05-24
443,50,83,1,2023-04-17
444,31,133,1,2023-05-15
445,20,342,1,2023-03-14
446,45,51,1,2022-08-25
447,35,602,1,2023-02-10
448,5,370,1,2022-09-20
449,8,104,1,2022-08-05
450,17,873,-1,2022-08-04
451,7,635,-1,2022-09-03
452,1,909,-1,2022-07-04
453,18,325,1,2022-09-09
454,45,50,-1,2022-10-23
455,50,642,1,2022-08-28
456,41,479,-1,2022-10-11
457,11,619,1,2022-09-14
458,38,46,1,2022-07-22
459,24,644,-1,2023-03-15
460,33,788,1,2022-12-13
461,24,494,1,2023-04-08
462,39,623,-1,2022-12-10
463,18,14,-1,2023-01-05
464,3,31,-1,2023-05-14
465,25,582,1,2023-01-30
466,29,939,-1,2022-12-11
467,36,833,-1,2023-03-06
468,21,80,1,2023-02-10
469,6,764,-1,2022-08-19
470,41,174,1,2022-10-27
471,9,166,-1,2022-08-19
472,29,924,1,2022-12-29
473,42,279,1,2022-07-10
474,9,867,-1,2023-03-20
475,23,971,1,2022-10-10
476,28,465,-1,2022-10-20
477,42,317,-1,2022-09-22
478,14,831,1,2022-08-14
479,17,278,-1,2023-02-12
480,14,850,-1,2023-01-13
481,30,883,-1,2023-02-02
482,13,482,-1,2022-11-03
483,18,187,-1,2023-04-28
484,33,908,1,2022-10-02
485,31,702,1,2022-12-04
486,22,979,1,2022-07-04
487,28,482,1,2022-07-08
488,5,266,1,2022-12-12
489,28,316,-1,2022-12-18
490,11,718,1,2022-11-01
491,38,155,1,2023-02-26
492,17,403,1,2022-11-27
493,27,419,-1,2023-01-12
494,26,539,1,2023-05-10
495,44,280,1,2022-07-16
496,24,364,1,2022-12-15
497,23,163,-1,2022-10-12
498,20,341,-1,2023-01-12
499,40,351,-1,2022-11-29
500,49,731,-1,2022-11-20
501,40,344,1,2022-11-17
