id,book_id,author_id,sort_index
1,1,28,49
2,2,3,44
3,3,21,5
4,4,44,48
5,5,37,24
6,6,21,11
7,7,25,29
8,8,16,2
9,9,20,50
10,10,28,45
11,11,21,28
12,12,15,8
13,13,31,1
14,14,24,48
15,15,14,2
16,16,45,25
17,17,12,30
18,18,19,39
19,19,41,26
20,20,23,13
21,21,28,15
22,22,16,45
23,23,26,42
24,24,36,30
25,25,29,40
26,26,29,28
27,27,13,8
28,28,50,25
29,29,11,38
30,30,24,1
31,31,35,5
32,32,42,13
33,33,27,43
34,34,30,32
35,35,19,29
36,36,5,13
37,37,21,38
38,38,41,33
39,39,33,36
40,40,30,37
41,41,40,6
42,42,10,19
43,43,10,36
44,44,17,11
45,45,8,44
46,46,17,38
47,47,14,6
48,48,16,31
49,49,39,20
50,50,35,29
51,51,4,49
52,52,15,46
53,53,19,24
54,54,16,46
55,55,21,48
56,56,44,48
57,57,34,42
58,58,29,41
59,59,21,20
60,60,28,37
61,61,23,13
62,62,42,29
63,63,3,42
64,64,21,15
65,65,43,33
66,66,12,3
67,67,46,25
68,68,29,36
69,69,45,42
70,70,7,5
71,71,39,13
72,72,41,30
73,73,11,19
74,74,13,44
75,75,26,49
76,76,1,10
77,77,36,21
78,78,2,33
79,79,11,33
80,80,48,6
81,81,12,38
82,82,37,37
83,83,36,31
84,84,32,21
85,85,13,6
86,86,46,20
87,87,26,38
88,88,16,26
89,89,48,41
90,90,42,16
91,91,32,42
92,92,49,1
93,93,50,15
94,94,11,1
95,95,12,30
96,96,43,44
97,97,31,17
98,98,23,39
99,99,1,18
100,100,18,21
101,101,19,36
102,102,38,13
103,103,6,45
104,104,30,32
105,105,22,41
106,106,3,11
107,107,41,12
108,108,6,9
109,109,35,42
110,110,17,41
111,111,40,17
112,112,24,48
113,113,1,3
114,114,28,20
115,115,43,49
116,116,10,2
117,117,3,19
118,118,32,27
119,119,40,5
120,120,22,6
121,121,19,4
122,122,34,21
123,123,8,24
124,124,27,10
125,125,9,5
126,126,37,7
127,127,37,35
128,128,9,22
129,129,34,17
130,130,42,23
131,131,41,35
132,132,25,13
133,133,38,16
134,134,21,18
135,135,40,37
136,136,32,6
137,137,35,48
138,138,2,29
139,139,33,11
140,140,17,31
141,141,12,21
142,142,28,44
143,143,25,24
144,144,10,44
145,145,33,42
146,146,29,19
147,147,37,10
148,148,25,27
149,149,19,23
150,150,44,49
151,151,6,2
152,152,49,42
153,153,29,12
154,154,24,43
155,155,29,43
156,156,11,19
157,157,17,29
158,158,6,41
159,159,32,38
160,160,5,15
161,161,1,5
162,162,16,26
163,163,36,47
164,164,34,48
165,165,31,19
166,166,35,27
167,167,17,44
168,168,36,23
169,169,1,8
170,170,24,19
171,171,24,9
172,172,35,45
173,173,37,33
174,174,27,41
175,175,7,19
176,176,32,17
177,177,11,50
178,178,19,12
179,179,35,50
180,180,30,15
181,181,2,39
182,182,12,27
183,183,40,13
184,184,36,10
185,185,46,30
186,186,49,31
187,187,39,29
188,188,32,50
189,189,15,41
190,190,12,23
191,191,27,43
192,192,15,24
193,193,20,18
194,194,15,41
195,195,29,31
196,196,29,20
197,197,29,33
198,198,33,5
199,199,39,22
200,200,33,43
201,201,35,8
202,202,35,8
203,203,24,39
204,204,43,33
205,205,44,34
206,206,46,10
207,207,48,48
208,208,44,26
209,209,7,42
210,210,43,16
211,211,22,35
212,212,3,8
213,213,37,21
214,214,20,43
215,215,27,42
216,216,43,42
217,217,8,11
218,218,44,23
219,219,35,49
220,220,34,42
221,221,38,47
222,222,23,26
223,223,40,47
224,224,35,34
225,225,44,41
226,226,21,18
227,227,47,1
228,228,38,39
229,229,16,47
230,230,17,39
231,231,7,24
232,232,15,29
233,233,33,33
234,234,43,38
235,235,38,36
236,236,1,37
237,237,31,46
238,238,11,7
239,239,46,33
240,240,9,20
241,241,41,40
242,242,33,24
243,243,44,11
244,244,42,32
245,245,45,6
246,246,3,24
247,247,32,38
248,248,20,32
249,249,23,1
250,250,6,50
251,251,32,14
252,252,45,11
253,253,30,47
254,254,20,13
255,255,36,6
256,256,41,19
257,257,43,26
258,258,10,10
259,259,41,29
260,260,31,16
261,261,47,6
262,262,17,29
263,263,27,16
264,264,5,31
265,265,21,2
266,266,4,3
267,267,34,46
268,268,21,32
269,269,31,16
270,270,45,39
271,271,4,49
272,272,11,2
273,273,29,26
274,274,14,2
275,275,12,16
276,276,5,41
277,277,8,14
278,278,4,50
279,279,12,47
280,280,42,9
281,281,40,47
282,282,29,16
283,283,1,38
284,284,16,33
285,285,20,27
286,286,44,49
287,287,40,12
288,288,29,49
289,289,45,8
290,290,42,23
291,291,41,29
