id,book_id,tag_id
1,1,49
2,2,35
3,3,16
4,4,1
5,5,13
6,6,33
7,7,48
8,8,39
9,9,37
10,10,16
11,11,37
12,12,8
13,13,35
14,14,34
15,15,11
16,16,40
17,17,33
18,18,22
19,19,4
20,20,44
21,21,35
22,22,12
23,23,35
24,24,41
25,25,31
26,26,2
27,27,49
28,28,46
29,29,39
30,30,33
31,31,30
32,32,45
33,33,23
34,34,18
35,35,4
36,36,11
37,37,10
38,38,19
39,39,35
40,40,14
41,41,15
42,42,26
43,43,45
44,44,16
45,45,24
46,46,31
47,47,20
48,48,17
49,49,26
50,50,25
51,51,11
52,52,5
53,53,27
54,54,31
55,55,41
56,56,39
57,57,18
58,58,10
59,59,46
60,60,10
61,61,4
62,62,15
63,63,40
64,64,13
65,65,5
66,66,30
67,67,39
68,68,45
69,69,14
70,70,5
71,71,27
72,72,28
73,73,46
74,74,41
75,75,38
76,76,17
77,77,24
78,78,4
79,79,20
80,80,13
81,81,33
82,82,7
83,83,11
84,84,22
85,85,18
86,86,43
87,87,9
88,88,26
89,89,8
90,90,7
91,91,46
92,92,20
93,93,12
94,94,48
95,95,38
96,96,37
97,97,15
98,98,46
99,99,26
100,100,11
101,101,41
102,102,38
103,103,20
104,104,43
105,105,49
106,106,5
107,107,29
108,108,25
109,109,29
110,110,27
111,111,41
112,112,21
113,113,48
114,114,13
115,115,2
116,116,49
117,117,11
118,118,19
119,119,26
120,120,11
121,121,48
122,122,18
123,123,37
124,124,29
125,125,37
126,126,14
127,127,28
128,128,43
129,129,34
130,130,16
131,131,28
132,132,13
133,133,42
134,134,10
135,135,15
136,136,28
137,137,3
138,138,45
139,139,2
140,140,34
141,141,43
142,142,30
143,143,29
144,144,36
145,145,20
146,146,2
147,147,42
148,148,48
149,149,41
150,150,41
151,151,2
152,152,41
153,153,28
154,154,49
155,155,16
156,156,8
157,157,27
158,158,6
159,159,20
160,160,36
161,161,10
162,162,34
163,163,8
164,164,35
165,165,35
166,166,23
167,167,25
168,168,17
169,169,11
170,170,16
171,171,20
172,172,20
173,173,47
174,174,12
175,175,41
176,176,8
177,177,17
178,178,47
179,179,48
180,180,39
181,181,9
182,182,10
183,183,43
184,184,13
185,185,32
186,186,12
187,187,27
188,188,22
189,189,38
190,190,44
191,191,20
192,192,6
193,193,2
194,194,43
195,195,11
196,196,15
197,197,25
198,198,12
199,199,40
200,200,43
201,201,23
202,202,37
203,203,24
204,204,21
205,205,36
206,206,4
207,207,15
208,208,9
209,209,45
210,210,34
211,211,35
212,212,16
213,213,19
214,214,12
215,215,42
216,216,47
217,217,35
218,218,35
219,219,21
220,220,44
221,221,45
222,222,34
223,223,11
224,224,16
225,225,17
226,226,48
227,227,29
228,228,30
229,229,33
230,230,24
231,231,2
232,232,32
233,233,22
234,234,33
235,235,30
236,236,25
237,237,1
238,238,17
239,239,8
240,240,3
241,241,47
242,242,39
243,243,27
244,244,42
245,245,15
246,246,14
247,247,16
248,248,3
249,249,35
250,250,23
251,251,27
252,252,10
253,253,39
254,254,47
255,255,10
256,256,9
257,257,38
258,258,15
259,259,25
260,260,3
261,261,1
262,262,27
263,263,26
264,264,20
265,265,10
266,266,21
267,267,45
268,268,37
269,269,21
270,270,10
271,271,38
272,272,48
273,273,48
274,274,27
275,275,11
276,276,34
277,277,19
278,278,5
279,279,18
280,280,22
281,281,33
282,282,9
283,283,30
284,284,25
285,285,30
286,286,22
287,287,37
288,288,26
289,289,5
290,290,34
291,291,7
292,292,20
293,293,49
294,294,47
295,295,11
296,296,19
297,297,27
298,298,43
299,299,7
300,300,34
301,301,24
302,302,15
303,303,39
304,304,30
305,305,18
306,306,24
307,307,43
308,308,12
309,309,22
310,310,28
311,311,19
312,312,25
313,313,24
314,314,29
315,315,42
316,316,10
317,317,27
318,318,26
319,319,23
320,320,7
321,321,44
322,322,49
323,323,24
324,324,4
325,325,34
326,326,4
327,327,18
328,328,37
329,329,23
330,330,4
331,331,48
332,332,44
333,333,28
334,334,22
335,335,45
336,336,29
337,337,14
338,338,2
339,339,31
340,340,27
341,341,49
342,342,26
343,343,35
344,344,13
345,345,46
346,346,9
347,347,38
348,348,35
349,349,22
350,350,8
351,351,7
352,352,39
353,353,11
354,354,49
355,355,19
356,356,43
357,357,40
358,358,26
359,359,14
360,360,40
361,361,26
362,362,37
363,363,20
364,364,12
365,365,29
366,366,20
367,367,20
368,368,13
369,369,39
370,370,21
371,371,36
372,372,22
373,373,45
374,374,30
375,375,26
376,376,44
377,377,27
378,378,47
379,379,49
380,380,22
381,381,49
382,382,27
383,383,21
384,384,1
385,385,37
386,386,34
387,387,35
388,388,3
389,389,4
390,390,47
391,391,44
392,392,13
393,393,9
394,394,14
395,395,47
396,396,34
397,397,9
398,398,45
399,399,45
400,400,42
401,401,19
402,402,5
403,403,9
404,404,20
405,405,46
406,406,28
407,407,5
408,408,18
409,409,20
410,410,40
411,411,14
412,412,42
413,413,1
414,414,8
415,415,40
416,416,37
417,417,45
418,418,31
419,419,33
420,420,40
421,421,7
422,422,12
423,423,22
424,424,14
425,425,46
426,426,7
427,427,23
428,428,12
429,429,36
430,430,39
431,431,35
432,432,24
433,433,2
434,434,33
435,435,5
436,436,40
437,437,11
438,438,48
439,439,14
440,440,15
441,441,1
442,442,5
443,443,20
444,444,9
445,445,29
446,446,4
447,447,2
448,448,42
449,449,11
450,450,37
451,451,38
452,452,39
453,453,3
454,454,41
455,455,39
456,456,44
457,457,14
458,458,8
459,459,17
460,460,27
461,461,4
462,462,22
463,463,44
464,464,7
465,465,49
466,466,36
467,467,36
468,468,26
469,469,35
470,470,48
471,471,36
472,472,24
473,473,28
474,474,6
475,475,40
476,476,32
477,477,12
478,478,36
479,479,4
480,480,2
481,481,19
482,482,43
483,483,1
484,484,38
485,485,37
486,486,49
487,487,43
488,488,5
489,489,48
490,490,23
491,491,37
492,492,28
493,493,3
494,494,48
495,495,49
496,496,37
497,497,49
498,498,25
499,499,7
500,500,45
501,501,44
502,502,32
503,503,49
504,504,40
505,505,40
506,506,11
507,507,38
508,508,3
509,509,6
510,510,40
511,511,45
512,512,30
513,513,3
514,514,24
515,515,41
516,516,10
517,517,20
518,518,16
519,519,17
520,520,37
521,521,17
522,522,22
523,523,13
524,524,27
525,525,48
526,526,13
527,527,21
528,528,40
529,529,21
530,530,41
531,531,21
532,532,23
533,533,28
534,534,27
535,535,2
536,536,32
537,537,13
538,538,30
539,539,1
540,540,14
541,541,39
542,542,25
543,543,33
544,544,12
545,545,1
546,546,20
547,547,10
548,548,9
549,549,17
550,550,1
551,551,44
552,552,46
553,553,26
554,554,20
555,555,32
556,556,24
557,557,36
558,558,49
559,559,43
560,560,30
561,561,1
562,562,38
563,563,5
564,564,31
565,565,13
566,566,24
567,567,3
568,568,28
569,569,25
570,570,24
571,571,33
572,572,37
573,573,49
574,574,37
575,575,39
576,576,39
577,577,47
578,578,39
579,579,40
580,580,21
581,581,20
582,582,35
583,583,23
584,584,28
585,585,28
586,586,36
587,587,27
588,588,35
589,589,40
590,590,12
591,591,28
592,592,41
593,593,6
594,594,14
595,595,45
596,596,11
597,597,34
598,598,15
599,599,43
600,600,42
601,601,22
602,602,42
603,603,31
604,604,30
605,605,44
606,606,35
607,607,46
608,608,15
609,609,41
610,610,15
611,611,37
612,612,36
613,613,14
614,614,36
615,615,32
616,616,27
617,617,12
618,618,7
619,619,30
620,620,25
621,621,43
622,622,25
623,623,9
624,624,45
625,625,5
626,626,4
627,627,34
628,628,27
629,629,13
630,630,3
631,631,14
632,632,48
633,633,16
634,634,23
635,635,17
636,636,32
637,637,43
638,638,38
639,639,10
640,640,16
641,641,2
642,642,2
643,643,10
644,644,30
645,645,22
646,646,40
647,647,3
648,648,24
649,649,28
650,650,45
651,651,36
652,652,37
653,653,44
654,654,5
655,655,35
656,656,16
657,657,36
658,658,40
659,659,8
660,660,5
661,661,22
662,662,19
663,663,16
664,664,35
