id,parent_id,slug,name
1,null,genre-lwk-481,Легкое чтение
2,1,genre-gaw-837,Фантастика
3,1,genre-qxn-343,Боевики
4,1,genre-nvw-487,Детективы
5,4,genre-ukb-561,Триллер
6,4,genre-ota-826,Крутой детектив
7,4,genre-bpy-129,Иронический детектив
8,4,genre-kxf-398,Про маньяков
9,4,genre-qxo-889,Шпионсикй детектив
10,4,genre-txf-279,Криминальный детектив
11,4,genre-dxq-940,Классический детектив
12,4,genre-qdh-165,Политический детектив
13,1,genre-xdn-752,Фэнтези
14,1,genre-drj-717,Романы
15,1,genre-nsc-049,Ужасы
16,1,genre-cqu-024,Приключения
17,null,genre-dvl-795,Серьезное чтение
18,17,genre-btu-866,Биографии
19,null,genre-ofz-027,Драматургия
20,19,genre-ton-923,Античная драма
21,19,genre-mto-083,Комедия
22,19,genre-vpn-947,Сценарий
23,19,genre-wqg-883,"Драма, пьеса"
24,null,genre-vft-372,Деловая литература
25,24,genre-soa-024,Управление экономикой
26,24,genre-mtz-697,Карьера
27,24,genre-ymo-829,Финансы
28,24,genre-qpc-193,Истории успеха
29,24,genre-csk-594,Стартапы и создание бизнеса
30,24,genre-hgi-534,Лидерство
31,24,genre-tnl-954,Логистика
32,24,genre-tjk-711,Продажи
33,24,genre-wsk-237,Малый бизнес
34,24,genre-kzj-170,Личная эффективность
35,24,genre-ppz-156,Менеджмент
36,24,genre-zsp-160,Делопроизводство
37,24,genre-ksl-752,Корпоративная культура
38,24,genre-yhx-516,Личные финансы
39,24,genre-fuk-620,Управление качеством
40,24,genre-jtr-701,Управление персоналом
41,24,genre-nzw-635,Управление бизнесом
42,24,genre-agf-785,Недвижимость
43,24,genre-guk-802,Российская практика
44,24,genre-tvw-401,Ценные бумаги
45,24,genre-ttn-773,Инвестиции
