id,user_id,book_id,value,time
1,37,601,4,2022-08-24
2,42,948,1,2022-10-28
3,37,778,5,2022-12-05
4,43,990,1,2023-01-24
5,28,143,4,2022-09-18
6,24,930,4,2022-11-21
7,22,410,2,2022-09-07
8,35,944,5,2023-02-10
9,15,793,3,2022-07-24
10,28,592,3,2023-02-20
11,33,192,5,2023-05-03
12,16,118,4,2023-05-12
13,30,641,4,2022-11-11
14,12,351,5,2023-03-22
15,3,856,5,2022-12-20
16,20,876,2,2023-01-16
17,2,870,3,2023-02-03
18,32,177,5,2022-05-28
19,34,643,1,2023-04-17
20,10,76,4,2022-07-09
21,17,589,2,2022-10-29
22,43,220,2,2023-03-08
23,32,836,5,2023-03-18
24,37,426,4,2022-12-26
25,18,874,2,2022-07-15
26,49,14,2,2022-12-07
27,17,719,5,2022-05-23
28,22,238,3,2023-04-09
29,2,545,5,2022-10-26
30,18,190,1,2022-06-11
31,5,282,3,2023-05-04
32,2,28,3,2023-05-06
33,39,743,4,2022-07-09
34,1,577,5,2022-12-12
35,20,598,3,2022-09-21
36,20,95,2,2023-05-10
37,33,372,4,2022-10-01
38,32,674,2,2022-08-25
39,8,263,3,2022-10-16
40,37,146,1,2022-07-13
41,43,426,1,2022-09-20
42,40,737,3,2022-11-12
43,37,383,4,2023-03-26
44,26,7,1,2023-04-05
45,3,456,1,2023-01-18
46,12,549,5,2023-02-15
47,34,579,2,2022-06-09
48,25,304,1,2022-10-30
49,10,67,4,2022-07-18
50,25,895,4,2023-04-28
51,40,42,2,2022-10-14
52,20,861,1,2022-09-09
53,5,713,5,2022-10-03
54,16,937,5,2023-03-08
55,19,614,5,2023-01-28
56,18,969,4,2022-12-29
57,27,48,3,2023-01-09
58,39,860,1,2022-06-21
59,41,489,5,2023-02-06
60,11,837,2,2022-07-10
61,38,850,3,2023-02-27
62,36,805,5,2022-10-22
63,40,182,4,2022-07-20
64,9,671,1,2023-01-03
65,29,947,4,2022-06-23
66,48,622,4,2023-04-24
67,46,329,2,2022-08-25
68,17,23,3,2022-11-29
69,35,880,2,2023-01-28
70,20,208,3,2023-04-01
71,36,101,3,2023-05-10
72,47,343,2,2022-10-16
73,36,220,3,2022-12-15
74,16,842,3,2023-04-08
75,20,750,5,2023-01-12
76,31,604,2,2022-08-05
77,10,116,2,2023-01-30
78,4,503,1,2023-04-15
79,14,40,4,2022-12-22
80,24,316,4,2022-11-11
81,21,51,2,2022-11-26
82,40,952,1,2023-04-27
83,48,290,1,2023-02-12
84,49,290,4,2023-03-13
85,3,75,5,2022-05-22
86,45,695,5,2022-11-06
87,38,648,1,2023-02-22
88,34,48,4,2022-09-21
89,36,293,1,2023-03-31
90,22,624,3,2022-08-07
91,4,789,3,2022-10-11
92,38,97,2,2023-02-09
93,44,930,4,2022-09-24
94,16,649,1,2022-09-01
95,50,230,2,2023-01-01
96,28,100,5,2022-10-11
97,21,843,4,2022-06-29
98,25,400,2,2022-10-28
99,10,524,1,2022-06-15
100,24,84,5,2023-01-05
101,23,155,3,2022-09-29
102,15,551,5,2023-02-19
103,46,270,3,2022-12-21
104,49,881,3,2023-04-15
105,32,30,1,2022-07-29
106,42,698,1,2022-09-20
107,14,535,2,2023-04-02
108,12,290,4,2023-04-27
109,39,201,3,2023-05-04
110,24,763,3,2022-09-02
111,50,833,5,2022-07-18
112,13,597,1,2022-10-30
113,29,180,1,2022-10-08
114,46,930,4,2022-12-03
115,41,38,5,2022-12-28
116,27,198,2,2022-11-23
117,49,639,3,2022-09-25
118,40,218,4,2022-11-03
119,37,603,5,2022-11-11
120,5,33,5,2023-03-01
121,15,850,2,2022-09-24
122,9,464,5,2022-09-12
123,5,572,2,2023-04-06
124,42,697,2,2023-01-14
125,23,70,5,2023-02-11
126,11,631,4,2022-07-27
127,9,396,2,2022-08-13
128,22,439,1,2022-09-23
129,37,713,2,2023-03-13
130,19,414,5,2023-01-19
131,31,303,2,2023-05-13
132,38,914,3,2023-01-08
133,14,36,5,2022-09-29
134,17,828,3,2022-07-06
135,41,718,1,2022-05-27
136,36,98,1,2022-10-24
137,46,972,1,2022-11-13
138,8,478,5,2022-07-01
139,26,720,5,2023-01-28
140,37,120,5,2022-06-18
141,7,423,5,2023-04-19
142,31,232,4,2023-04-23
143,21,738,3,2022-07-14
144,22,582,3,2022-12-13
145,46,608,5,2022-08-21
146,8,266,2,2022-07-23
147,15,378,2,2023-03-21
148,40,462,4,2023-04-13
149,37,644,4,2023-01-05
150,11,687,3,2022-05-30
151,11,415,4,2023-04-29
152,1,131,5,2022-12-13
153,40,259,5,2023-02-12
154,44,33,3,2022-08-01
155,10,791,5,2023-01-01
156,8,810,4,2022-11-07
157,18,672,1,2022-09-28
158,2,253,2,2022-07-27
159,10,834,1,2022-07-31
160,38,763,3,2022-10-07
161,12,933,4,2022-10-27
162,9,982,4,2023-04-11
163,12,743,1,2022-06-24
164,35,75,4,2022-06-23
165,18,593,5,2022-05-29
166,30,81,5,2023-05-06
167,4,958,4,2022-09-18
168,38,880,2,2022-10-19
169,4,561,3,2023-01-30
170,29,813,4,2023-01-10
171,26,364,2,2022-09-21
172,4,479,5,2022-06-25
173,9,33,5,2023-05-11
174,17,709,2,2023-02-02
175,5,480,4,2023-04-05
176,20,980,4,2022-09-14
177,28,836,1,2023-02-19
178,46,143,3,2023-01-22
179,4,814,5,2022-11-22
180,41,192,3,2022-07-29
181,10,59,5,2022-11-18
182,4,111,4,2023-02-25
183,23,183,1,2022-07-01
184,6,65,2,2022-08-25
185,21,954,3,2023-01-13
186,28,912,3,2022-11-19
187,37,543,2,2023-03-06
188,3,14,1,2022-10-30
189,10,676,1,2022-07-21
190,2,2,5,2022-10-26
191,29,493,4,2023-02-07
192,34,275,4,2022-09-14
193,48,855,1,2022-08-18
194,13,501,4,2022-07-06
195,18,976,3,2022-07-31
196,28,755,2,2022-07-01
197,39,960,5,2022-10-04
198,10,663,1,2023-02-07
199,17,360,3,2022-07-18
200,16,66,2,2023-03-08
201,26,137,1,2023-02-14
202,27,98,1,2023-02-28
203,49,736,4,2022-09-26
204,14,320,2,2022-10-06
205,28,727,2,2022-12-24
206,8,832,1,2023-02-17
207,13,836,1,2022-05-30
208,43,160,4,2022-11-02
209,19,873,3,2022-05-16
210,17,266,3,2022-10-10
211,7,776,2,2022-06-21
212,50,15,4,2022-10-19
213,19,828,2,2023-01-14
214,46,685,2,2022-08-18
215,13,484,2,2022-10-01
216,47,506,4,2022-05-29
217,35,26,4,2022-10-08
218,1,47,5,2023-02-04
219,19,139,3,2022-09-27
220,29,216,4,2023-01-22
221,23,520,3,2022-07-22
222,19,855,1,2022-12-28
223,12,433,5,2023-02-07
224,26,622,3,2023-02-25
225,48,804,1,2022-08-26
226,2,431,1,2022-07-05
227,18,751,5,2022-06-19
228,10,44,2,2023-05-04
229,45,755,1,2023-05-06
230,37,737,1,2022-10-02
231,25,160,4,2023-01-12
232,34,743,1,2023-02-24
233,29,208,1,2022-06-14
234,11,984,2,2022-08-11
235,22,739,4,2023-02-26
236,28,964,2,2023-02-03
237,16,116,1,2022-06-12
238,19,571,5,2022-08-02
239,21,397,5,2022-12-16
240,28,215,5,2022-08-02
241,9,263,2,2022-10-29
242,23,467,1,2023-04-17
243,37,274,1,2022-08-14
244,44,211,1,2023-01-27
245,5,596,5,2022-09-06
246,25,525,5,2022-10-08
247,24,681,1,2023-02-19
