id,slug,name
1,tag-kyw-200,современная литература
2,tag-fyo-434,классическая литература
3,tag-eqx-240,зарубежная литература
4,tag-tce-122,фэнтези
5,tag-zhx-932,английская литература
6,tag-xlq-766,русская литература
7,tag-vcw-642,американская литература
8,tag-yol-946,фантастика
9,tag-mem-138,детская литература
10,tag-vqd-773,детектив
11,tag-hlj-408,любовь
12,tag-fxb-480,мистика
13,tag-zol-631,юмор
14,tag-csb-247,приключения
15,tag-inu-718,сказка
16,tag-ovx-045,французская литература
17,tag-ncd-954,англия
18,tag-ope-139,художественная литература
19,tag-yrk-317,психология
20,tag-hhi-869,философия
21,tag-uxd-078,экранизировано
22,tag-cwi-412,любимое
23,tag-qjo-636,антиутопия
24,tag-ebi-816,books you must read before you die
25,tag-cni-025,роман
26,tag-nng-371,франция
27,tag-jaq-352,дайте две
28,tag-ztt-867,young adult
29,tag-sqt-972,война
30,tag-nml-064,история
31,tag-bzk-669,флэшмоб 2016
32,tag-cvo-632,детство
33,tag-ipz-004,жизнь
34,tag-gyx-862,драма
35,tag-ufv-617,россия
36,tag-oli-705,книжное путешествие
37,tag-cmk-869,советская литература
38,tag-ehk-786,триллер
39,tag-hrt-121,америка
40,tag-djg-855,немецкая литература
41,tag-wul-270,вампиры
42,tag-eqs-526,школьная программа
43,tag-sca-294,рассказы
44,tag-rtp-193,магия
45,tag-owv-852,дети
46,tag-iur-897,русская классика
47,tag-zjy-422,флэшмоб 2015
48,tag-aoq-760,биография
49,tag-iho-492,english
